activity,user_display_name,user_location,comment,more_info
1,Angie,bronk,this graph shows me when there is a extreme rainfall and if it  close to where you live,FALSE
1,welington nunez,bronx,the graph shows me that there will be an extreme rainfall,FALSE
1,valeria,"chicago , il",this map showed me that the damage has already been done and that it isn??t even one specific place(state) but all of the map. our planet has already been hit with the effects and we can??t really do much but just watch and wait to see what happens eventually in the future.,FALSE
1,caleb,us,In all places there going to be affected no matter what.In the state where i live we??ve experimented hurricanes more. So somethings might change for example the level of water or wind speed.,FALSE
1,Angel Figueroa,Massachusetts,"I noticed that my county was a high risk for hurricanes, I wonder why that is when I have never experienced a hurricane in the 13 years I've lived here.",FALSE
1,Ian McIntosh,Oklahoma,I notice that at the moment no matter where you live in the united states there is some sort of extreme unusual weather that could possibly affect you and your state.,FALSE
1,FSB 8th grade- Flenorl,"Baltimore, MD","Our class wonders why in Pocahontas County, Iowa there is an extreme rainfall risk when all the surrounding counties have heat and water stress risk?",FALSE
1,Victoria,"Milford, DE","I notice that most of the United States are under water stress, then the second most are extreme rainfall, then hurricanes with extreme heat not far behind, the fifth would be a wildfire, then finally rising sea level. 
I wonder how wildfire and extreme rainfall could be so close together. Wildfire cuts right in between the extreme rainfall which makes no sense since water puts out fire.  
This has an impact on me and my community because it shows that we are in the hurricane area and very close to the small area that has a rising sea level. 
This graph highlights the climate issues going on in each area of the United States. 
 Catchy Title - Issues over the Horizon",TRUE
1,Kirk Hammer,"Milford, DE","1. I live in Milford, Delaware and I immediately searched for my county upon seeing the title of this graph. I noticed that I am particularly at risk for hurricanes, which--although we've had several--doesn't seem like it would be the most significant issue in my small state. I don't believe that we get nearly enough rainfall to be considered at risk for hurricanes.
2. Secondly, I wonder what this graph would correlate with. To elaborate, would states with higher sea level risks have more people who own boats? Or would people in CA--who are at risk for wildfires--be more likely to own a fire extinguisher compared to people who live in hurricane risk areas.
3. Finally, although this is completely irrelevant to the graph, I wondered why counties are shaped the way they are. The division of people into smaller classifications than states makes little to no sense to me, and the fact that there are counties in states like Nevada that are almost four times the size of my state boggles my mind.",TRUE
1,Daren Masangcay,California,"My country is San Mateo County in California, USA. The thing that I noticed is the chart is a big threat which is Water Stress coming in first, our second threat would be Extreme Heat, and then our third is Extreme Rainfall. But the main issue I want to talk about when noticing would be Water Stress. Water Stress to me most likely is about our water quality, water shortages, and water scarcity, which is a lack of fresh water. I wonder if this threat will be settled in the near future, and if it doesn't will we ever find a way to have drinkable water? This will impact me and my community because everyday, some people drink water to either be dehydrated, to help our bodies, or just be pleased with their lunches with water. If there is no more water then the question is, what are we going to drink? We can't keep drinking sodas because they're made from carbonated water and carbonated water is made from water. It's possible to stay alive without drinking water for a few days most likely, but that wouldn't be more",FALSE
1,Yaeli,"San Mateo County, California","I live on the border of San Mateo County, the two biggest climate threats are high water stress and high sea level rise. The first thing I noticed is that though the charts are based on climate threats and what not, natural disasters are overlooked. Earthquakes are a big part of California??s disasters especially since the sea level is rising. Since San Mateo??s sea level and water stress is very high, earthquakes could enhance more natural disasters like tsunamis and flooding, Of course we can??t forget about the frequent wildfires that constantly ruin our environment and air quality. My only question is, if California is always in danger of droughts, why is the water stress so high? In California there is little to no rain, with the exception of rainy winters and snowy areas like Lake Tahoe. I do wonder if it??s because San Mateo is located on the border of the U.S where many oceans lie. Earthquakes, wildfires, and  flooding play a big factor in many homes here. Although it??s sad to say, San Mateo County i",TRUE
1,Javier Merino,California,"My county is Alameda County in California, United States of America. Somethings I noticed is that Water stress risk is the highest risk to happen in that county. And I also noticed that Hurricanes are impossible to happen in this part of the US. I wonder what they mean by Water stress. Does it mean droughts, tsunamis, a decrease in the rain? I think this has an impact on my county because it can limit our freshwater supply or we wouldn't have enough rain which can cause more wildfires. The graph tells me that Water stress risk is the highest problem, with Sea level, Extreme rainfall, and Wildfires being medium problems, Heat stress is low, and Hurricanes are nonexistent. A good title I can come up with is ""Is Alameda County in a Drought?",TRUE
