course_id,course_name,forum_id,forum_name,discussion_id,discussion_name,discussion_creator,discussion_poster,discussion_reference,parent_id,post_date,post_id,post_title,post_content
9, Teaching Statistics Through Data Investigations - Fall 2015,126,Investigate: Analyze Tasks ,6822,Not much comparison...,4513,4963,4513,16374,15/10/05 20:48:10,16597,Re: Not much comparison..., I also like the Coke vs. Pepsi problem because it is an actual investigation rather than just a worksheet for them to go through. I think it's something that will interest the students and it can demonstrate nicely how confidence intervals and hypothesis tests can reflect real life data.  
9, Teaching Statistics Through Data Investigations - Fall 2015,126,Investigate: Analyze Tasks ,6822,Not much comparison...,4513,5009,4513,16374,15/10/05 16:13:40,16480,Re: Not much comparison..., By far the best activity as a whole was Pepsi vs. Coke.  However the data set was qualitative with minimal variables and I was not impressed with the method for conducting the investigation.   I think that it would be more valid for students to develop their own investigative proposal (including posing a question that they want to answer within  the confines of Coke vs. Pepsi).     After watching the presenter's videos I see a much greater correlation between scientific processes and statistical methods.  The entire investigative process needs to be modeled at each step and students need to learn through experimenting with their own investigations.  We are attempting to do this with all of our Chemistry Labs this year.   
9, Teaching Statistics Through Data Investigations - Fall 2015,126,Investigate: Analyze Tasks ,6822,Not much comparison...,4513,4409,4513,16374,15/10/06 05:53:59,16754,Re: Not much comparison..., Hello Clark   I felt the same way...the Pepsi vs Coke comparison is the best exercise in the high school section. Both the others are also good although it is data that is collected individually and/or hypothetically whereas the Coke/Pepsi thing was really a fun activity  an event where everybody was actively involved. Also the collected data was something that the students could own up to because they were instrumental in not only collecting the data  but also in actually making the data happen. 
9, Teaching Statistics Through Data Investigations - Fall 2015,126,Investigate: Analyze Tasks ,6822,Not much comparison...,4513,4854,4513,16374,15/10/09 00:12:00,17414,Re: Not much comparison..., I definitely agree: there are not much comparison. The last task is very simple: just to look at the dotplot and arrive to an evident conclusion. The first one instruct the students to calculate the coefficients by hand. I really don't see the point on doing such calculations by hand when there are many technological tools available for our use. I always like to teach my students first the algorithms and calculations by hand but then right away we get to technology  mostly the TI84 since it is the one I have a class set available. The coke and Pepsi activity is definitely the one that allow more critical thinking  discussion and sharing among the students.  
9, Teaching Statistics Through Data Investigations - Fall 2015,126,Investigate: Analyze Tasks ,6822,Not much comparison...,4513,4116,4513,16374,15/10/09 20:41:22,17568,Re: Not much comparison..., I agree that the Pepsi vs. Coke experiment was the most interesting of all the experiments  even in the middle school tasks. This study can even be done in middle school. Teachers are working with student interest which will keep them engaged throughout the entire lesson. There is movement throughout the classroom  conversations among students. and then a final comparison with the entire class. This is something I would absolutely do with my future students. 
9, Teaching Statistics Through Data Investigations - Fall 2015,126,Investigate: Analyze Tasks ,6822,Not much comparison...,4513,4093,4513,16374,15/10/10 22:38:16,17687,Re: Not much comparison...," I think it is a good approach to get students feel what it is like to be \the researcher\"". For that reason  I think the Pepsi vs Coke Approach is productive. I suggest that this activity could be improved by having students create a \""fictitious\"" release form so that every student who drinks the Pepsi or the Coke signs the consent form agreeing to participate. After all in all experimental studies this is what needs to be done. This is just a suggestion. """
9, Teaching Statistics Through Data Investigations - Fall 2015,126,Investigate: Analyze Tasks ,6822,Not much comparison...,4513,3753,4513,16374,15/10/11 00:23:08,17708,Re: Not much comparison..., This one is a good attention getting activity  it introduces students to sampling but how can we further expand on this activity? 
9, Teaching Statistics Through Data Investigations - Fall 2015,126,Investigate: Analyze Tasks ,6822,Not much comparison...,4513,5680,4513,16374,15/10/12 13:27:08,17964,Re: Not much comparison..., I agree with what everyone has said above  that the Pepsi vs Coke activity was the best out of the three high school activities.  It could  however  get some serious upgrades!  I didn't particularly think that any of the three were great activities.  The Pepsi vs Coke idea is a good one and good place to start  but you could incorporate a lot more of the Investigation Cycle to make it a really in depth and great activity.  The students could pose a question in their own words using their own understanding.  They could come up with the data collection method and have to explain why it the data collected is fair and unbiased  why it takes care of any what ifs  etc.  Then they could do a lot with the data they collected.  They could then come up with a final statement/inference based on their data with description of some of the what ifs and uncertainties. 
9, Teaching Statistics Through Data Investigations - Fall 2015,126,Investigate: Analyze Tasks ,6822,Not much comparison...,4513,5733,4513,16374,15/10/19 00:28:57,19106,Re: Not much comparison..., I do agree with you  that the Pepsi vs Coke is the best activity. It allows students to actually gather their data  and then analyze it. In this experiment  they are active participants in their own learning. In contrast  feel the first and third activity just asks students to answer simple questions. 
9, Teaching Statistics Through Data Investigations - Fall 2015,126,Investigate: Analyze Tasks ,6822,Not much comparison...,4513,3928,4513,16374,15/10/22 03:18:27,19731,Re: Not much comparison...," I actually did a similar activity involving bottled water vs. water fountain water.  I learned more in setting up the experiment.  I did the experiment on the first day of class  because I was really excited about experimentation and statistics.  The suggestion came from a colleague at a workshop  so I set up the experiment using randomization and 3 cups.  I labeled the \dixie cups\"" 1A 1B 1C. 2A 2B 2C etc.  I had enough for every student.   Everything was set to go and my first period did the experiment and we got results  showing that they could have done just as well by chance.  Second period came and we did it again and had about the same results.  Then I was cleaning up and tried a left over set.  The water tasted like \""sharpie\""!  They all tasted like sharpie and not a single student said anything to me!  I poured the water in another glass and it tasted normal.  The next day we talked about problems in designing an experiment  when I asked them what one problem  may have been... they mentioned the marker. Hah! """
